Hypotheses,OP,ON,ON_norm,geo_mean,har_mean,gene name,XAI score,pathway name,biological_process name,molecular_function name
liver neoplasm_HDAC1_8,0.6,0.2862637140382929,0.0,0.0,0.0,HDAC1,3.7085593220338984,Integration of Viral DNA Into Host Genomic DNA,,
liver neoplasm_COL1A2_8,0.6666666666666666,1.8497704225840679,1.0,0.816496580927726,0.8,COL1A2,3.2695762711864407,,,
liver neoplasm_GEMIN5_8,0.6,0.87003158995093,0.3733708801643725,0.4733101816976088,0.46030250681177753,GEMIN5,3.2107203389830508,,DNA Replication (GO:0006260),
liver neoplasm_PFKFB2_8,1.0,1.7350066751887396,0.9265984937780852,0.9625998617172585,0.9619009843208309,PFKFB2,3.172881355932203,,,Translation Initiation Factor Activity (GO:0003743)
liver neoplasm_MAP3K2_8,0.25,0.8477504132443986,0.35912010875114636,0.2996331543534303,0.2947859573109771,MAP3K2,3.155381355932203,,,Translation Initiation Factor Activity (GO:0003743)
liver neoplasm_AHNAK2_8,0.36363636363636365,0.6688227282385635,0.24468012328267558,0.2982860879836827,0.29252730181699294,AHNAK2,3.127881355932203,,,Translation Initiation Factor Activity (GO:0003743)
liver neoplasm_CIAO2A_8,0.25,0.6117949103736587,0.20820582000453577,0.22814787967705058,0.22719683045762573,CIAO2A,3.052076271186441,,,
liver neoplasm_MCM5_8,0.6666666666666666,0.746613367080181,0.2944340759945069,0.4430455777866854,0.40846786457127476,MCM5,3.520720338983051,,DNA Replication (GO:0006260),
liver neoplasm_PAFAH1B3_8,0.2857142857142857,0.8453507412850831,0.35758530755956897,0.3196360910962738,0.3176349924655168,PAFAH1B3,3.386822033898305,PAFAH1B1 Copy Number Variation WP5409,,
liver neoplasm_RMDN1_8,0.6,1.3191661857438515,0.660631941046333,0.6295865028951938,0.6288578794835271,RMDN1,3.2929661016949154,,,STAT Family Protein Binding (GO:0097677)
liver neoplasm_SF3B2_8,0.6666666666666666,0.9726549721972216,0.43900755552072074,0.5409914081392425,0.529399524394228,SF3B2,3.156059322033898,Integration of Viral DNA Into Host Genomic DNA,,
