Hypotheses,OP,ON,ON_norm,geo_mean,har_mean,gene name,XAI rank,pathway name,biological_process name,molecular_function name
liver neoplasm_HDAC1_8,0.6,0.2862637140382929,0.1279606113318726,0.27708548644619324,0.2109354973441597,HDAC1,,,,
liver neoplasm_PAFAH1B3_8,0.2857142857142857,0.8453507412850831,0.37787394049607353,0.3285787318115373,0.3253945104344069,PAFAH1B3,,,,
liver neoplasm_RMDN1_8,0.6,1.3191661857438515,0.5896706543587205,0.594812905555379,0.5947904847765548,RMDN1,,,,
liver neoplasm_PFKFB2_8,1.0,1.7350066751887396,0.775552415254183,0.8806545379739906,0.873589997784613,PFKFB2,,,,
liver neoplasm_MAP3K2_8,0.25,0.8477504132443986,0.37894659999097857,0.30779319355330886,0.3012549873044978,MAP3K2,,,,
liver neoplasm_AHNAK2_8,0.36363636363636365,0.6688227282385635,0.29896546778754224,0.32971914648546913,0.32814492928726896,AHNAK2,,,,
liver neoplasm_CIAO2A_8,0.25,0.6117949103736587,0.27347388754506785,0.26147365428713265,0.2612106296529676,CIAO2A,,,,
liver neoplasm_PARP9_8,0.42857142857142855,0.5313467212848509,0.2375133415466711,0.3190476956372361,0.3056410735029489,PARP9,,,,
liver neoplasm_SRSF9_8,0.5555555555555556,1.3187164906188613,0.5894696394892669,0.5722614202002375,0.5720103530765946,SRSF9,,,,
liver neoplasm_DTX3L_8,0.5454545454545454,0.4690615639624433,0.20967171713872743,0.3381810035566436,0.3029066709289616,DTX3L,,,,
liver neoplasm_SCO2_8,0.3,1.034423876380957,0.46239011480262704,0.3724473579457748,0.36390040150691133,SCO2,,,,
liver neoplasm_EIF2B2_8,0.4,0.4580299025636817,0.20474053631710598,0.2861751465918073,0.2708474448416956,EIF2B2,,,,
liver neoplasm_LTN1_8,0.4444444444444444,1.924983819570536,0.8604726840205075,0.618411112456038,0.5861403696325012,LTN1,,,,
liver neoplasm_TPR_8,0.42857142857142855,1.6401339319632418,0.7331440567143978,0.5605395576895014,0.5409320951892719,TPR,,,,
liver neoplasm_C4A_8,0.8461538461538461,0.6324095303655017,0.2826886753339862,0.48907883812120545,0.42379358563269104,C4A,,,,
liver neoplasm_TSTD1_8,0.4,0.3918290335303159,0.17514857877309967,0.26468742227246056,0.24362202775042874,TSTD1,,,,
liver neoplasm_MCM5_8,0.6666666666666666,0.746613367080181,0.33373808203769745,0.47169063451779314,0.44480407551033785,MCM5,,,,
liver neoplasm_COL1A2_8,0.6666666666666666,1.8497704225840679,0.8268521034622329,0.742451840620985,0.7381691434569835,COL1A2,,,,
liver neoplasm_GEMIN5_8,0.6,0.87003158995093,0.3889063428879769,0.48305673138130073,0.47192296300038855,GEMIN5,,,,
liver neoplasm_SF3B2_8,0.6666666666666666,0.9726549721972216,0.43477925686625113,0.5383798268052342,0.5263133336244474,SF3B2,,,,
liver neoplasm_BANF1_8,0.8,0.09567160226912357,0.042765450572681406,0.18496583592151586,0.08119070480380257,BANF1,,,,
liver neoplasm_LRG1_8,1.0,0.8853499634332149,0.39575369495978335,0.6290895762606334,0.5670824249133533,LRG1,,,,
liver neoplasm_PAPSS1_8,0.5555555555555556,0.7094556062642763,0.31712846804697475,0.41974097041904224,0.40377153123766313,PAPSS1,,,,
liver neoplasm_CD82_8,0.6666666666666666,0.29221145689079087,0.1306192675782895,0.2950923782798527,0.21843985445780004,CD82,,,,
liver neoplasm_HMGA1_8,0.625,0.0,0.0,0.0,0.0,HMGA1,,,,
liver neoplasm_CHMP3_8,0.5555555555555556,0.6619811180127239,0.29590725054218187,0.4054539640549576,0.38614233244384033,CHMP3,,,,
liver neoplasm_TAF10_8,0.1111111111111111,2.237123682504555,1.0,0.3333333333333333,0.19999999999999998,TAF10,,,,
liver neoplasm_SLC44A2_8,0.625,1.1395463539810067,0.5093801307870632,0.5642362818375956,0.5612978808453319,SLC44A2,,,,
liver neoplasm_MARCKSL1_8,0.6666666666666666,1.342894271746322,0.6002771694066081,0.6326015962708326,0.6317324702328169,MARCKSL1,,,,
liver neoplasm_HDDC3_8,0.6666666666666666,0.7694112087207791,0.34392877547985656,0.4788380209631482,0.4537638717880956,HDDC3,,,,
